,# time,left pressure 1[N/cm²],left pressure 2[N/cm²],left pressure 3[N/cm²],left pressure 4[N/cm²],left pressure 5[N/cm²],left pressure 6[N/cm²],left pressure 7[N/cm²],left pressure 8[N/cm²],left pressure 9[N/cm²],left pressure 10[N/cm²],left pressure 11[N/cm²],left pressure 12[N/cm²],left pressure 13[N/cm²],left pressure 14[N/cm²],left pressure 15[N/cm²],left pressure 16[N/cm²],left acceleration X[g],left acceleration Y[g],left acceleration Z[g],left angular X[dps],left angular Y[dps],left angular Z[dps],left total force[N],left center of pressure X[%],left center of pressure Y[%],right pressure 1[N/cm²],right pressure 2[N/cm²],right pressure 3[N/cm²],right pressure 4[N/cm²],right pressure 5[N/cm²],right pressure 6[N/cm²],right pressure 7[N/cm²],right pressure 8[N/cm²],right pressure 9[N/cm²],right pressure 10[N/cm²],right pressure 11[N/cm²],right pressure 12[N/cm²],right pressure 13[N/cm²],right pressure 14[N/cm²],right pressure 15[N/cm²],right pressure 16[N/cm²],right acceleration X[g],right acceleration Y[g],right acceleration Z[g],right angular X[dps],right angular Y[dps],right angular Z[dps],right total force[N],right center of pressure X[%],right center of pressure Y[%]
2089,835.8195890410958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9834650136986304,0.3153497671232877,2.103743150684932,75.57506626027399,-278.42356938356164,21.7124659452055,0.0,0.0,0.0,1.818493150684931,1.414383561643835,0.6061643835616437,0.8082191780821916,0.0,2.164383561643835,0.0,4.808219178082192,0.2979452054794521,4.729452054794521,10.825342465753426,8.98972602739726,8.48972602739726,0.2979452054794521,0.9897260273972606,2.8938356164383565,-0.1387250547945205,0.0421992328767122,1.0133910684931509,-4.85876712328767,-1.6320547945205466,1.600410958904109,465.1095890410959,0.1191780821917808,-0.22
2090,835.8360273972603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3050084657534244,0.3302790821917808,2.043865123287671,81.05232784931508,-286.0410980410959,57.61383613698631,0.0,0.0,0.0,1.078767123287671,0.8390410958904106,0.3595890410958903,0.4794520547945204,0.0,1.5890410958904106,0.0,4.47945205479452,0.3801369863013698,5.551369863013699,11.811643835616438,9.400684931506849,8.900684931506849,0.3801369863013698,1.4006849315068497,3.1404109589041096,-0.1404908630136986,0.0417179178082191,1.0246283287671232,-3.7080821917808215,0.3701369863013701,0.8639726027397259,468.7260273972603,0.1520547945205479,-0.22
2091,835.8524657534247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6265519178082188,0.3452083972602739,1.983987095890411,86.52958943835617,-293.65862669863014,93.5152063287671,0.0,0.0,0.0,0.3390410958904111,0.2636986301369864,0.113013698630137,0.1506849315068494,0.0,1.0136986301369864,0.0,4.1506849315068495,0.4623287671232876,6.373287671232877,12.797945205479452,9.811643835616438,9.311643835616438,0.4623287671232876,1.8116438356164384,3.386986301369863,-0.1422566712328767,0.041236602739726,1.0358655890410955,-2.557397260273973,2.372328767123287,0.1275342465753426,472.3424657534247,0.184931506849315,-0.22
2092,835.868904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9956591643835613,0.2263151780821919,1.6314211917808223,72.69739808219181,-262.2209543287672,116.10315221917809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6164383561643838,0.0,3.643835616438357,0.5,7.23972602739726,13.472602739726026,9.91095890410959,9.099315068493151,1.1678082191780812,2.1780821917808213,3.544520547945205,-0.1467181095890411,0.0426680684931506,1.0571025205479452,3.704246575342458,21.290548479452028,0.0517808219178078,477.5616438356165,0.2053424657534246,-0.2075342465753424
2093,835.8853424657534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.405012698630137,-0.0058124931506846,1.031196315068494,42.52643884931511,-197.73657339726037,127.42589293150684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3698630136986304,0.0,2.9863013698630145,0.5,8.143835616438356,13.883561643835616,9.746575342465754,8.35958904109589,2.400684931506848,2.5068493150684925,3.626712328767123,-0.1534604657534246,0.0457180410958903,1.086800712328767,14.290547945205468,54.5223302876712,0.5350684931506844,484.13698630136986,0.2152054794520548,-0.1845205479452054
2094,835.9017808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.814366232876712,-0.2379401643835612,0.4309714383561655,12.355479616438409,-133.25219246575352,138.7486336438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232876712328771,0.0,2.3287671232876725,0.5,9.04794520547945,14.294520547945204,9.582191780821915,7.619863013698631,3.6335616438356144,2.835616438356164,3.708904109589041,-0.1602028219178082,0.0487680136986301,1.116498904109589,24.87684931506848,87.75411209589035,1.0183561643835608,490.71232876712327,0.2250684931506849,-0.1615068493150685
2095,835.9182191780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1679353835616446,-0.0523665753424635,-0.3322722876712364,-8.494931342465797,-73.61219279452034,115.85000334246551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8356164383561635,0.5821917808219184,9.623287671232877,14.212328767123283,9.00684931506849,6.756849315068489,5.400684931506858,3.0,3.6678082191780814,-0.1955196438356166,0.0533431369863013,1.1412205479452056,31.746438027397275,129.25931741095908,0.2819178082191705,490.8767123287671,0.2365753424657534,-0.1384931506849313
2096,835.9346575342465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.465720150684931,0.5509082739726023,-1.258534863013698,-20.02479402739725,-18.81657438356168,58.73000202739729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5068493150684936,0.7465753424657533,9.86986301369863,13.636986301369864,8.02054794520548,5.77054794520548,7.7020547945205475,3.0,3.5034246575342465,-0.2594109315068492,0.0594434109589041,1.1609656438356164,34.89931408219178,179.03794623287666,-1.674246575342465,484.63013698630135,0.2497260273972602,-0.1154794520547944
2097,835.951095890411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.763504917808217,1.154183123287668,-2.1847974383561595,-31.554656712328704,35.97904402739697,1.6100007123290716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.178082191780824,0.910958904109588,10.116438356164382,13.061643835616442,7.034246575342471,4.784246575342471,10.003424657534234,3.0,3.339041095890412,-0.3233022191780818,0.0655436849315068,1.1807107397260272,38.05219013698629,228.81657505479424,-3.6304109589041,478.38356164383566,0.2628767123287671,-0.0924657534246576
2098,835.9675342465754,2.184931506849307,2.260273972602732,0.1506849315068488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.382618767123289,1.3421178630136992,-2.0015982054794543,-27.610684082191813,88.88657919178074,-25.48000000000001,41.28767123287656,-0.0602739726027395,-0.0030136986301369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869863013698633,1.0,9.797945205479454,11.958904109589044,6.047945205479453,3.9486301369863024,11.136986301369864,2.811643835616439,3.099315068493151,-0.419052219178082,0.0781921232876712,1.2404081369863011,34.50712158904112,286.3373974657533,-7.4113698630136895,451.34246575342473,0.2730136986301369,-0.0724657534246575
